time,pos1,pos2,vel1,vel2,tau1,tau2
2.422798638343810751e+02,-4.648279545281148728e-01,2.256427862973975629e-01,-5.721865828233504425e-01,5.721865828233504425e-01,-8.117216117216125015e-01,2.930402930402919992e-03
2.422818639278411581e+02,-4.663538567177844540e-01,2.264057373922323535e-01,-7.629154437644674047e-01,3.814577218822335913e-01,-8.351648351648356394e-01,2.051282051282043994e-02
2.422838640213012411e+02,-4.674982833600367371e-01,2.267872129396497627e-01,-5.721865828233504425e-01,1.907288609411167957e-01,-8.468864468864473194e-01,2.051282051282043994e-02
2.422858641147613241e+02,-4.686427100022889647e-01,2.275501640344845533e-01,-5.721865828233504425e-01,3.814577218822335913e-01,-8.175824175824182305e-01,2.051282051282043994e-02
2.422878642082214071e+02,-4.697871366445411923e-01,2.283131151293193717e-01,-5.721865828233504425e-01,3.814577218822335913e-01,-8.293040293040299105e-01,2.930402930402919992e-03
2.422898643016814901e+02,-4.709315632867934198e-01,2.286945906767368086e-01,-5.721865828233504425e-01,1.907288609411167957e-01,-8.175824175824182305e-01,1.465201465201459996e-02
2.422918643951415731e+02,-4.720759899290455919e-01,2.298390173189890362e-01,-5.721865828233504425e-01,5.721865828233504425e-01,-8.058608058608065505e-01,8.791208791208759976e-03
2.422938644886016561e+02,-4.728389410238804658e-01,2.298390173189890362e-01,-3.814577218822335913e-01,0.000000000000000000e+00,-7.765567765567772396e-01,3.223443223443211991e-02
2.422958645820617392e+02,-4.739833676661326933e-01,2.306019684138238268e-01,-5.721865828233504425e-01,3.814577218822335913e-01,-8.000000000000005995e-01,3.223443223443211991e-02
2.422978646755218222e+02,-4.751277943083848654e-01,2.306019684138238268e-01,-5.721865828233504425e-01,0.000000000000000000e+00,-8.527472527472531594e-01,2.637362637362627993e-02
2.422998647689819052e+02,-4.762722209506370930e-01,2.309834439612412915e-01,-5.721865828233504425e-01,1.907288609411167957e-01,-8.293040293040299105e-01,4.395604395604379988e-02
2.423018648624419882e+02,-4.766536964980545577e-01,2.313649195086586730e-01,-1.907288609411167957e-01,1.907288609411167957e-01,-8.000000000000005995e-01,2.051282051282043994e-02
2.423038649559020712e+02,-4.774166475928893760e-01,2.317463950560760821e-01,-3.814577218822335913e-01,1.907288609411167957e-01,-7.941391941391948706e-01,2.051282051282043994e-02
2.423058650493621542e+02,-4.781795986877241389e-01,2.321278706034934913e-01,-3.814577218822335913e-01,1.907288609411167957e-01,-8.117216117216125015e-01,1.465201465201459996e-02
2.423078651428222372e+02,-4.789425497825590128e-01,2.325093461509108728e-01,-3.814577218822335913e-01,1.907288609411167957e-01,-8.000000000000005995e-01,1.465201465201459996e-02
2.423098652362823202e+02,-4.797055008773937756e-01,2.328908216983283097e-01,-3.814577218822335913e-01,1.907288609411167957e-01,-7.765567765567772396e-01,2.930402930402919992e-03
2.423118653297424032e+02,-4.804684519722286495e-01,2.332722972457456911e-01,-3.814577218822335913e-01,1.907288609411167957e-01,-7.472527472527462633e-01,8.791208791208759976e-03
2.423138654232024862e+02,-4.816128786144808771e-01,2.332722972457456911e-01,-5.721865828233504425e-01,0.000000000000000000e+00,-7.706959706959715106e-01,2.930402930402919992e-03
2.423158655166625692e+02,-4.819943541618983418e-01,2.336537727931631281e-01,-1.907288609411167957e-01,1.907288609411167957e-01,-8.175824175824182305e-01,2.051282051282043994e-02
2.423178656101226522e+02,-4.823758297093156955e-01,2.340352483405805095e-01,-1.907288609411167957e-01,1.907288609411167957e-01,-8.293040293040299105e-01,2.637362637362627993e-02
2.423198657035827353e+02,-4.831387808041504583e-01,2.340352483405805095e-01,-3.814577218822335913e-01,0.000000000000000000e+00,-8.175824175824182305e-01,4.395604395604379988e-02
2.423218657970428183e+02,-4.835202563515679230e-01,2.340352483405805095e-01,-1.907288609411167957e-01,0.000000000000000000e+00,-8.000000000000005995e-01,4.981684981684963986e-02
2.423238658905029013e+02,-4.842832074464027414e-01,2.336537727931631281e-01,-3.814577218822335913e-01,-1.907288609411167957e-01,-7.824175824175831906e-01,3.809523809523795990e-02
2.423258659839629843e+02,-4.850461585412376153e-01,2.340352483405805095e-01,-3.814577218822335913e-01,1.907288609411167957e-01,-7.882783882783889196e-01,2.637362637362627993e-02
2.423278660774230673e+02,-4.854276340886549690e-01,2.336537727931631281e-01,-1.907288609411167957e-01,-1.907288609411167957e-01,-8.000000000000005995e-01,3.809523809523795990e-02
2.423298661708831503e+02,-4.858091096360723782e-01,2.336537727931631281e-01,-1.907288609411167957e-01,0.000000000000000000e+00,-7.941391941391948706e-01,1.465201465201459996e-02
2.423318662643432333e+02,-4.861905851834897874e-01,2.336537727931631281e-01,-1.907288609411167957e-01,0.000000000000000000e+00,-7.941391941391948706e-01,1.465201465201459996e-02
2.423338665962218954e+02,-4.865720607309071966e-01,2.340352483405805095e-01,-1.907061280613860932e-01,1.907061280613860932e-01,-7.706959706959715106e-01,8.791208791208759976e-03
